,PC No,PC Name,No Of AC Segments,No Of Polling Station,Electors,Avg. No. of Electors Per PS,Nominations,Contestants,Forefeited Deposits,Voters,Voters Turn Out (%),State
0,1,Andaman & Nicobar Islands,1,407,318471,782,19,15,13,207398,65.12,Andaman & Nicobar Islands
1,1,Aruku ,7,2035,1451418,713,13,10,8,1078235,74.29,Andhra Pradesh
2,2,Srikakulam,7,2031,1553860,765,13,9,7,1164286,74.93,Andhra Pradesh
3,3,Vizianagaram,7,1887,1503980,797,17,14,12,1222433,81.28,Andhra Pradesh
4,4,Visakhapatnam,7,1915,1829300,955,24,14,11,1239921,67.78,Andhra Pradesh
5,5,Anakapalli,7,1799,1521363,846,14,10,8,1240456,81.54,Andhra Pradesh
6,6,Kakinada,7,1623,1563930,964,20,15,13,1236814,79.08,Andhra Pradesh
7,7,Amalapuram ,7,1641,1459556,889,13,10,7,1235368,84.64,Andhra Pradesh
8,8,Rajahmundry,7,1584,1534256,969,17,11,9,1250488,81.5,Andhra Pradesh
9,9,Narsapuram,7,1502,1439691,959,20,15,12,1179162,81.9,Andhra Pradesh
10,10,Eluru ,7,1771,1594950,901,14,10,8,1332210,83.53,Andhra Pradesh
11,11,Machilipatnam ,7,1752,1473347,841,18,12,10,1245552,84.54,Andhra Pradesh
12,12,Vijayawada,7,1709,1652994,967,21,15,13,1277775,77.3,Andhra Pradesh
13,13,Guntur,7,1804,1706119,946,27,19,17,1351527,79.22,Andhra Pradesh
14,14,Narasaraopet,7,1915,1670391,872,19,13,11,1440732,86.25,Andhra Pradesh
15,15,Bapatla ,7,1767,1468671,831,16,13,11,1269998,86.47,Andhra Pradesh
16,16,Ongole ,7,1931,1556469,806,17,13,11,1344003,86.35,Andhra Pradesh
17,17,Nandyal,7,1938,1603220,827,28,20,18,1299785,81.07,Andhra Pradesh
18,18,Kurnool,7,1843,1573009,854,17,16,14,1190672,75.69,Andhra Pradesh
19,19,Anantapur,7,1975,1664160,843,18,14,12,1348114,81.01,Andhra Pradesh
20,20,Hindupur,7,1909,1578218,827,12,9,7,1340027,84.91,Andhra Pradesh
21,21,Kadapa,7,1922,1570330,817,24,15,13,1235547,78.68,Andhra Pradesh
22,22,Nellore,7,1944,1672845,861,21,13,11,1289161,77.06,Andhra Pradesh
23,23,Tirupati ,7,1987,1650453,831,17,12,10,1316473,79.76,Andhra Pradesh
24,24,Rajampet,7,1892,1546938,818,20,9,7,1226152,79.26,Andhra Pradesh
25,25,Chittoor ,7,1883,1566499,832,10,8,6,1319635,84.24,Andhra Pradesh
26,1,ARUNACHAL WEST,33,1297,463775,358,7,7,6,364047,78.5,Arunachal Pradesh
27,2,ARUNACHAL EAST,27,905,339788,375,5,5,3,295719,87.03,Arunachal Pradesh
28,1,Karimganj ,8,1721,1340173,779,19,14,12,1061160,79.18,Assam
29,2,Silchar,7,1461,1195720,818,14,13,11,950690,79.51,Assam
30,3,Autonomous District,5,1174,795945,678,6,5,3,617858,77.63,Assam
31,4,Dhubri,10,2450,1858566,759,17,15,12,1685058,90.66,Assam
32,5,Kokrajhar,10,2347,1776358,757,12,9,6,1479744,83.3,Assam
33,6,Barpeta,10,2188,1685149,770,14,13,10,1458808,86.57,Assam
34,7,Gauhati,10,2592,2181319,842,19,17,15,1763950,80.87,Assam
35,8,Mangaldoi,10,2353,1800237,765,13,11,9,1506419,83.68,Assam
36,9,Tezpur,9,1880,1499639,798,10,7,5,1191885,79.48,Assam
37,10,Nowgong,9,2283,1794648,786,8,7,5,1493624,83.23,Assam
38,11,Kaliabor,10,2174,1734938,798,7,7,5,1424795,82.12,Assam
39,12,Jorhat,10,1753,1365035,779,8,8,6,1058820,77.57,Assam
40,13,Dibrugarh,9,1657,1314319,793,8,8,6,1015992,77.3,Assam
41,14,Lakhimpur,9,2110,1708013,809,12,11,9,1283950,75.17,Assam
42,1,Valmiki Nagar,6,1701,1665502,979,17,13,11,1032231,61.98,Bihar
43,2,Paschim Champaran,6,1647,1633824,992,18,9,7,1013373,62.02,Bihar
44,3,Purvi Champaran,6,1611,1658672,1030,25,22,20,1000135,60.3,Bihar
45,4,Sheohar,6,1670,1686215,1010,26,18,16,1004927,59.6,Bihar
46,5,Sitamarhi,6,1776,1752454,987,24,20,18,1039600,59.32,Bihar
47,6,Madhubani,6,1837,1792798,976,22,17,16,964706,53.81,Bihar
48,7,Jhanjharpur,6,1929,1852417,960,20,17,15,1062391,57.35,Bihar
49,8,Supaul,6,1770,1690620,955,24,20,18,1110996,65.72,Bihar
50,9,Araria,6,1723,1805439,1048,28,12,10,1169741,64.79,Bihar
51,10,Kishanganj,6,1626,1659651,1021,16,14,11,1101656,66.38,Bihar
52,11,Katihar,6,1667,1653353,992,17,9,7,1118289,67.64,Bihar
53,12,Purnia,6,1758,1765312,1004,17,16,14,1153989,65.37,Bihar
54,13,Madhepura,6,1940,1884883,972,18,13,11,1147652,60.89,Bihar
55,14,Darbhanga,6,1664,1654811,994,17,8,6,965510,58.35,Bihar
56,15,Muzaffarpur,6,1748,1730553,990,37,22,20,1058507,61.17,Bihar
57,16,Vaishali,6,1803,1735983,963,36,22,20,1074751,61.91,Bihar
58,17,Gopalganj (SC),6,1906,1839514,965,17,13,11,1026056,55.78,Bihar
59,18,Siwan,6,1787,1799551,1007,24,19,17,984850,54.73,Bihar
60,19,Maharajganj,6,1848,1807768,978,16,11,9,972989,53.82,Bihar
61,20,Saran,6,1711,1667253,974,15,12,10,943615,56.6,Bihar
62,21,Hajipur (SC),6,1827,1823664,998,27,11,9,1007680,55.26,Bihar
63,22,Ujiarpur,6,1600,1612300,1008,30,18,16,969862,60.15,Bihar
64,23,Samastipur (SC),6,1700,1679030,988,17,11,9,1019771,60.74,Bihar
65,24,Begusarai,7,1944,1958382,1007,21,10,8,1226503,62.63,Bihar
66,25,Khagaria,6,1714,1676454,978,26,20,18,967411,57.71,Bihar
67,26,Bhagalpur,6,1777,1823820,1026,16,9,7,1043182,57.2,Bihar
68,27,Banka,6,1816,1699394,936,23,20,18,995860,58.6,Bihar
69,28,Munger,6,1926,1888025,980,21,19,17,1036441,54.9,Bihar
70,29,Nalanda,7,2248,2114809,941,36,35,33,1031874,48.79,Bihar
71,30,Patna Sahib,6,2007,2146008,1069,37,18,16,982939,45.8,Bihar
72,31,Pataliputra,6,2050,1925479,939,33,25,23,1078809,56.03,Bihar
73,32,Arrah,7,2162,2089353,966,24,11,9,1082464,51.81,Bihar
74,33,Buxar,6,1856,1829373,986,16,15,13,986962,53.95,Bihar
75,34,Sasaram (SC),6,1927,1787878,928,15,13,11,975577,54.57,Bihar
76,35,Karakat,6,1869,1771254,948,37,27,25,869546,49.09,Bihar
77,36,Jahanabad,6,1692,1588454,939,29,13,11,822233,51.76,Bihar
78,37,Aurangabad,6,1965,1742883,887,16,9,7,935469,53.67,Bihar
79,38,Gaya (SC),6,1772,1704596,962,14,13,11,957654,56.18,Bihar
80,39,Nawada,6,1899,1899747,1000,18,13,11,944691,49.73,Bihar
81,40,Jamui (SC),6,1850,1718814,929,12,9,7,949561,55.25,Bihar
82,1,CHANDIGARH,1,597,646729,1083,45,36,34,456637,70.61,Chandigarh
83,1,SARGUJA,8,2153,1655239,769,11,10,8,1281216,77.4,Chhattisgarh
84,2,RAIGARH,8,2327,1733805,745,14,14,12,1350741,77.91,Chhattisgarh
