,index,State,PC Name,Electors,Voters Turn Out (%),Votes
0,0,Andaman & Nicobar Islands,"Andaman & NicobarIslands",315148,64.10,202018
1,1,Arunachal Pradesh,Arunachal East,375310,83.31,312658
2,2,Arunachal Pradesh,Arunachal West,517384,73.60,380783
3,3,Assam,Dibrugarh,1659588,76.75,1273744
4,4,Assam,Jorhat,1727121,79.89,1379749
5,5,Assam,Kaziranga,2050126,79.33,1626408
6,6,Assam,Lakhimpur,1577234,76.42,1205331
7,7,Assam,Sonitpur,1633800,78.46,1281959
8,8,Bihar,Aurangabad,1871564,50.35,942382
9,9,Bihar,Gaya,1816815,52.76,958623
10,10,Bihar,Jamui,1907126,51.25,977369
11,11,Bihar,Nawada,2006124,43.17,866102
12,12,Chhattisgarh,BASTAR,1472207,68.29,1005392
13,13,Jammu & Kashmir,UDHAMPUR,1623195,68.27,1108206
14,14,Lakshadweep,Lakshadweep,57784,84.16,48630
15,15,Madhya Pradesh,BALAGHAT,1873653,73.45,1376207
16,16,Madhya Pradesh,CHHINDWARA,1632190,79.83,1303001
17,17,Madhya Pradesh,JABALPUR,1896346,61.00,1156722
18,18,Madhya Pradesh,MANDLA,2101811,72.84,1530861
19,19,Madhya Pradesh,SHAHDOL,1777185,64.68,1149506
20,20,Madhya Pradesh,SIDHI,2028451,56.50,1146150
21,21,Maharashtra,Bhandara Gondiya,1827188,67.04,1224928
22,22,Maharashtra,Chandrapur,1837906,67.55,1241574
23,23,Maharashtra,Gadchiroli - Chimur,1617207,71.88,1162476
24,24,Maharashtra,Nagpur,2223281,54.32,1207738
25,25,Maharashtra,Ramtek,2049085,61.01,1250190
26,26,Manipur,Inner Manipur,991574,80.15,794790
27,27,Manipur,Outer Manipur,553078,68.83,380688
28,28,Meghalaya,Shillong,1400411,73.78,1033251
29,29,Meghalaya,Tura,826156,81.37,672284
30,30,Mizoram,MIZORAM,856364,56.87,487013
31,31,Nagaland,Nagaland,1317536,57.72,760507
32,32,Puducherry,PUDUCHERRY,1023699,78.90,807724
33,33,Rajasthan,ALWAR,2059888,60.07,1237446
34,34,Rajasthan,BHARATPUR,2114916,52.80,1116742
35,35,Rajasthan,BIKANER,2048399,54.11,1108418
36,36,Rajasthan,CHURU,2213187,63.61,1407716
37,37,Rajasthan,DAUSA,1899304,55.72,1058386
38,38,Rajasthan,GANGANAGAR,2102002,66.59,1399688
39,39,Rajasthan,JHUNJHUNU,2068540,52.93,1094900
40,40,Rajasthan,KARAULI-DHOLPUR,1975352,49.59,979618
41,41,Rajasthan,NAGAUR,2146725,57.23,1228494
42,42,Rajasthan,SIKAR,2214900,57.53,1274270
43,43,Sikkim,Sikkim,464140,79.88,370765
44,44,Tamil Nadu,ARAKKONAM,1562871,74.19,1159441
45,45,Tamil Nadu,ARANI,1496118,75.76,1133520
46,46,Tamil Nadu,CHENNAI CENTRAL,1350161,53.96,728614
47,47,Tamil Nadu,CHENNAI NORTH,1496224,60.11,899367
48,48,Tamil Nadu,CHENNAI SOUTH,2023133,54.17,1096026
49,49,Tamil Nadu,CHIDAMBARAM,1519847,76.37,1160762
50,50,Tamil Nadu,COIMBATORE,2106124,64.89,1366597
51,51,Tamil Nadu,CUDDALORE,1412746,72.57,1025298
52,52,Tamil Nadu,DHARMAPURI,1524896,81.2,1238184
53,53,Tamil Nadu,DINDIGUL,1607051,71.14,1143196
54,54,Tamil Nadu,ERODE,1538778,70.59,1086287
55,55,Tamil Nadu,KALLAKURICHI,1568681,79.21,1242597
56,56,Tamil Nadu,KANCHEEPURAM,1748866,71.68,1253582
57,57,Tamil Nadu,KANNIYAKUMARI,1557915,65.44,1019532
58,58,Tamil Nadu,KARUR,1429790,78.7,1125241
59,59,Tamil Nadu,KRISHNAGIRI,1623179,71.5,1160498
60,60,Tamil Nadu,MADURAI,1582271,62.04,981650
61,61,Tamil Nadu,MAYILADUTHURAI,1545568,70.09,1083243
62,62,Tamil Nadu,NAGAPATTINAM,1345120,71.94,967694
63,63,Tamil Nadu,NAMAKKAL,1452562,78.21,1136069
64,64,Tamil Nadu,NILGIRIS,1428387,70.95,1013410
65,65,Tamil Nadu,PERAMBALUR,1446352,77.43,1119881
66,66,Tamil Nadu,POLLACHI,1597467,70.41,1124743
67,67,Tamil Nadu,RAMANATHAPURAM,1617688,68.19,1103036
68,68,Tamil Nadu,SALEM,1658681,78.16,1296481
69,69,Tamil Nadu,SIVAGANGA,1633857,64.26,1049887
70,70,Tamil Nadu,SRIPERUMBUDUR,2382119,60.25,1435243
71,71,Tamil Nadu,TENKASI,1525439,67.65,1031961
72,72,Tamil Nadu,THANJAVUR,1501226,68.27,1024949
73,73,Tamil Nadu,THENI,1622949,69.84,1133513
74,74,Tamil Nadu,THOOTHUKKUDI,1458430,66.88,975468
75,75,Tamil Nadu,TIRUCHIRAPPALLI,1553985,67.51,1049093
76,76,Tamil Nadu,TIRUNELVELI,1654503,64.1,1060461
77,77,Tamil Nadu,TIRUPPUR,1608521,70.62,1135998
78,78,Tamil Nadu,TIRUVALLUR,2085991,68.59,1430738
79,79,Tamil Nadu,TIRUVANNAMALAI,1533099,74.24,1138102
80,80,Tamil Nadu,VELLORE,1528273,73.53,1123715
81,81,Tamil Nadu,VILUPPURAM,1503115,76.52,1150164
82,82,Tamil Nadu,VIRUDHUNAGAR,1501942,70.22,1054634
83,83,Tripura,Tripura West,1463526,81.48,1192435
84,84,Uttar Pradesh,Bijnor,1738307,58.73,1020947
85,85,Uttar Pradesh,Moradabad,2059578.0,62.18,1280706.0
86,86,Uttar Pradesh,Muzaffarnagar,1817472.0,59.13,1074608.0
87,87,Uttar Pradesh,Nagina,1644909.0,60.75,999203.0
88,88,Uttar Pradesh,Pilibhit,1831699.0,63.11,1155917.0
89,89,Uttar Pradesh,Rampur,1731836.0,55.85,967200.0
90,90,Uttar Pradesh,Saharanpur,1855310.0,66.14,1227083.0
91,91,Uttarakhand,Almora,1339327.0,48.74,652726.0
92,92,Uttarakhand,Garhwal,1369388.0,52.42,717834.0
93,93,Uttarakhand,Haridwar,2035726.0,63.53,1293362.0
94,94,Uttarakhand,Nagar,2015809.0,62.47,1259180.0
95,95,Uttarakhand,Tehri Garhwal,1577664.0,53.76,848186.0
96,96,West Bengal,Alipurduars,1773252.0,79.76,1414258.0
97,97,West Bengal,Coochbehar,1966893.0,82.16,1616079.0
98,98,West Bengal,Jalpaiguri,1885963.0,83.66,1577828.0
99,99,Karnataka,Kolar,1726914,78.27,1351646
